0 46.6 50.1 53.6 2.31 3.25 4.19 47 49.2 51.3 2.33 3.08 3.83
3 57.4 62.7 68 4.7 6.55 8.4 57.1 61.3 65.6 4.55 6.18 7.82
6 62.6 67.9 73.3 5.77 8.04 10.31 61.8 66.4 70 5.75 7.55 9.33
9 67.1 72.6 78 6.71 9.3 11.88 66.1 71 76 6.77 8.75 10.73
12 71 76.6 82.3 7.55 10.36 13.81 69.8 75.1 80.4 7.61 9.82 12.03
18 77.3 83.4 89.5 8.93 12.03 15.14 76.2 82.2 88.1 8.87 11.62 14.38
24 82.2 88.8 95.4 9.99 13.28 16.57 81.4 88 94.6 9.72 13.1 16.47
36 89.3 96.9 104.6 11.47 15.19 18.91 89.3 97 104.8 10.9 15.5 20.2
48 94.9 103.5 112.1 12.45 17.02 21.6 95.3 104.1 112.9 11.64 17.63 23.63
60 100.5 109.8 119.1 13.24 19.19 25.13 100.7 110.4 120.1 12.65 19.8 26.96
72 106.2 116.1 126 14.03 21.7 29.38 105.9 116.3 126.7 13.91 22.1 30.29
84 112.1 122.5 132.9 14.88 24.4 33.93 111.2 122.1 133 15.32 24.49 33.67
96 117.4 128.4 139.4 15.74 27.07 38.4 116.5 127.8 139 16.74 26.98 37.32
108 122.1 134 145.9 16.49 29.61 42.73 121.6 133.2 144.7 18.09 29.64 41.19
120 125 138 151 16.94 32.23 47.52 126.5 138.4 150.3 19.48 32.76 46.04
132 127.7 142 156.5 16.87 35.59 54.32 131.1 143.7 156.3 21.24 36.95 52.56
144 131.7 146.2 160.5 18.68 38.24 57.79 136.2 149.2 161.8 24.62 40.48 56.35
156 139.6 153.1 167.6 23.42 42.97 62.53 142.1 154.7 167.8 29.23 45.09 60.95
168 146.3 160.8 175.3 29.7 49.25 68.8 145.5 158.1 170.7 33.32 49.17 65.02
180 152.4 166.9 181.4 35.67 55.21 74.76 146.9 159.4 172 35.64 51.69 67.54
192 156.2 170.6 185.1 39.75 59.3 78.84 147.2 159.8 172.4 36.96 52.8 68.68
204 157.8 172.3 186.8 41.75 61.29 80.82 147.3 159.9 172.4 37.3 53.14 68.98
216 158.4 172.9 187.3 42.42 61.95 81.49 147.3 159.9 172.4 37.37 53.21 69.05
228 158.5 173 187.5 42.56 62.1 81.65 147.3 159.9 172.4 37.38 53.22 69.06
